,cp,pays,ville,surface,nbPiece,idTypeBien,nbChambre,prix
47,38290,France,La Verpilliere,51,1,1,,537
48,38300,France,Bourgoin Jallieu,,3,1,,580
49,38140,France,Apprieu,,3,1,,450
50,38470,France,Vinay,36.45,2,1,1,459
51,38112,France,Meaudre,84,3,1,2,715
52,38000,France,Grenoble,18.89,1,1,1,321
53,38600,France,Fontaine,39.65,2,1,1,399
54,38000,France,Grenoble,37,2,1,2,380
55,38380,France,Entre-Deux-Guiers,65,3,1,2,440
56,38380,France,Saint-Laurent-du-Pont,56,3,1,2,475
57,38380,France,Saint-Laurent-du-Pont,50,3,1,1,495
58,38100,France,Grenoble,60,2,1,2,500
59,38380,France,Saint-Laurent-du-Pont,50,3,1,2,520
60,38650,France,Monestier-de-Clermont,54,3,1,2,500
61,38380,France,Saint-Laurent-du-Pont,57,3,1,2,560
62,38500,France,Voiron,70.43,3,1,3,582
63,38400,France,Saint-Martin-d'Heres,68,4,1,1,600
64,38650,France,Monestier-de-Clermont,54,3,1,1,582
65,38650,France,Monestier-de-Clermont,77,3,1,2,651
66,38450,France,Vif,66,3,1,5,694
67,38700,France,La Tronche,110,6,1,1,1200
68,38134,France,Saint-Joseph-de-Riviere,39,2,1,1,366
69,38000,France,Grenoble,25,1,1,1,410
70,38000,France,Grenoble,29,1,1,1,410
71,38240,France,Meylan,31,1,1,1,495
72,38270,France,Beaurepaire,34,2,1,1,250
73,38210,France,Tullins,35,2,1,1,290
74,38270,France,Beaurepaire,42,2,1,1,290
75,38430,France,Moirans,34,2,1,1,300
76,38850,France,Chirens,38.32,2,1,1,324
77,38190,France,Le Champ-Près-Froges,20.46,2,1,1,327
78,38210,France,Tullins,41,2,1,1,330
79,38480,France,Pont de Beauvoisin,55,2,1,1,335
80,38270,France,Beaurepaire,48,2,1,1,300
81,38210,France,Tullins,41,2,1,1,350
82,38210,France,Tullins,48,2,1,1,350
83,38200,France,Vienne,37.65,2,1,1,350
84,38210,France,Tullins,40,2,1,1,350
85,38190,France,Lancey,34.79,2,1,1,360
86,38200,France,Vienne,38,2,1,1,360
87,38500,France,Voiron,31.35,2,1,1,360
88,38470,France,Vinay,34.53,2,1,1,363
89,38200,France,Vienne,56,2,1,1,365
90,38430,France,Moirans,31.54,1,1,1,368
91,38200,France,Vienne,43.98,3,1,1,372
92,38140,France,Rives,50,2,1,1,375
93,38500,France,Voiron,36.86,2,1,1,380
94,38500,France,Voiron,30,2,1,1,380
95,38220,France,Vizille,33.28,2,1,1,383
96,38210,France,Tullins,40,2,1,,390
97,38600,France,Fontaine,30,2,1,,393
98,38140,France,Renage,46.5,2,1,,395
99,38490,France,Les Abrets,45,2,1,,395
100,38200,France,Vienne,33.79,2,1,1,395
101,38480,France,Le Pont de Beauvoisin,40,2,1,1,400
102,38270,France,Beaurepaire,50,3,1,2,375
103,38210,France,Tullins,50,2,1,1,400
104,38210,France,Tullins,37,2,1,1,400
105,38250,France,Villard de Lans,28.2,2,1,1,400
106,38500,France,Voiron,39,2,1,1,400
107,38140,France,Renage,34.3,2,1,1,405
108,38300,France,Bourgoin Jallieu,42,2,1,1,405
109,38570,France,Le Cheylas,41,3,1,1,407
110,38200,France,Vienne,50,2,1,1,410
111,38470,France,Vinay,51,3,1,2,414
112,38230,France,Pont de Cheruy,35,2,1,1,414
113,38270,France,Beaurepaire,59.17,3,1,2,415
114,38000,France,Grenoble,32.59,2,1,1,416
115,38200,France,Vienne,70,3,1,2,410
116,38430,France,Moirans,42,2,1,1,420
117,38350,France,La Mure,80,3,1,2,420
118,38400,France,Saint-Martin-d'Heres,35,2,1,1,420
119,38600,France,Fontaine,27,2,1,1,420
120,38230,France,Pont de Cheruy,33,2,1,1,420
121,38220,France,Vizille,49,3,1,2,420
122,38500,France,Voiron,40,2,1,1,425
123,38000,France,Grenoble,35,2,1,1,425
124,38200,France,Vienne,41,2,1,1,429
125,38500,France,Voiron,55,3,1,2,430
126,38220,France,Vizille,58.34,2,1,1,430
127,38480,France,Le Pont de Beauvoisin,40,2,1,1,430
128,38100,France,Grenoble,39.16,2,1,1,432
129,38000,France,Grenoble,27.57,2,1,1,435
130,38100,France,Grenoble,33.3,2,1,1,437
131,38110,France,La Tour du Pin,45,2,1,1,437
132,38500,France,Voiron,47.17,2,1,1,438
133,38000,France,Grenoble,35.62,2,1,1,440
134,38110,France,Saint-Clair-de-la-Tour,48.4,2,1,1,440
135,38000,France,Grenoble,30,2,1,1,440
136,38270,France,Beaurepaire,65,3,1,2,400
137,38400,France,Saint Martin d'Heres,31,2,1,1,445
138,38500,France,Voiron,58.55,3,1,2,448
139,38300,France,Bourgoin Jallieu,26.84,2,1,1,450
